subject_id	subject_label	object_id	object_label	comment_leonmap	comment_gilda	confidence_leonmap	confidence_gilda	mapping_justification_leonmap	mapping_justification_gilda	predicate_id_leonmap	predicate_id_gilda
icd10:O14.2	HELLP syndrome	mesh:D017359	HELLP Syndrome	cosine=0.868104		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:F20.2	Catatonic schizophrenia	mesh:D012560	Schizophrenia, Catatonic	cosine=0.867722		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:K58	Irritable bowel syndrome	mesh:D043183	Irritable Bowel Syndrome	cosine=0.867418		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Y59.0	Viral vaccines	mesh:D014765	Viral Vaccines	cosine=0.867199		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:E85	Amyloidosis	mesh:D000686	Amyloidosis	cosine=0.867122		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B70.1	Sparganosis	mesh:D013031	Sparganosis	cosine=0.867075		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:N94.2	Vaginismus	mesh:D052065	Vaginismus	cosine=0.867040		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:K44	Diaphragmatic hernia	mesh:D006548	Hernia, Diaphragmatic	cosine=0.866923		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:O30.1	Triplet pregnancy	mesh:D059286	Pregnancy, Triplet	cosine=0.866903		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:E74.0	Glycogen storage disease	mesh:D006008	Glycogen Storage Disease	cosine=0.866731		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:A15-A19	Tuberculosis	mesh:D014376	Tuberculosis	cosine=0.866533		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:A58	Granuloma inguinale	mesh:D006100	Granuloma Inguinale	cosine=0.866148		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q21.2	Atrioventricular septal defect	mesh:C562831	Atrioventricular Septal Defect	cosine=0.865417		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:M93.2	Osteochondritis dissecans	mesh:D010008	Osteochondritis Dissecans	cosine=0.864734		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:J36	Peritonsillar abscess	mesh:D000039	Peritonsillar Abscess	cosine=0.864322		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:N15.0	Balkan nephropathy	mesh:D001449	Balkan Nephropathy	cosine=0.864263		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:T75.3	Motion sickness	mesh:D009041	Motion Sickness	cosine=0.864078		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:F42	Obsessive-compulsive disorder	mesh:D009771	Obsessive-Compulsive Disorder	cosine=0.863967		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:C22.2	Hepatoblastoma	mesh:D018197	Hepatoblastoma	cosine=0.863056		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:C26.1	Spleen	mesh:D013154	Spleen	cosine=0.862269		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q79.6	Ehlers-Danlos syndrome	mesh:D004535	Ehlers-Danlos Syndrome	cosine=0.862110		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:A42	Actinomycosis	mesh:D000196	Actinomycosis	cosine=0.861360		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B79	Trichuriasis	mesh:D014257	Trichuriasis	cosine=0.860636		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q78.1	Polyostotic fibrous dysplasia	mesh:D005359	Fibrous Dysplasia, Polyostotic	cosine=0.860464		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:G24.5	Blepharospasm	mesh:D001764	Blepharospasm	cosine=0.860213		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:K07.6	Temporomandibular joint disorders	mesh:D013705	Temporomandibular Joint Disorders	cosine=0.860171		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:M79.1	Myalgia	mesh:D063806	Myalgia	cosine=0.860152		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B74.3	Loiasis	mesh:D008118	Loiasis	cosine=0.860078		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:T50.5	Appetite depressants	mesh:D001067	Appetite Depressants	cosine=0.859847		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:G25.0	Essential tremor	mesh:D020329	Essential Tremor	cosine=0.859829		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:O30.0	Twin pregnancy	mesh:D059285	Pregnancy, Twin	cosine=0.859463		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R48.1	Agnosia	mesh:D000377	Agnosia	cosine=0.859262		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:E10-E14	Diabetes mellitus	mesh:D003920	Diabetes Mellitus	cosine=0.859095		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:F91.3	Oppositional defiant disorder	mesh:D000096865	Oppositional Defiant Disorder	cosine=0.858933		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:C76.2	Abdomen	mesh:D000005	Abdomen	cosine=0.858514		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B48.3	Geotrichosis	mesh:D005847	Geotrichosis	cosine=0.857828		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:C17.2	Ileum	mesh:D007082	Ileum	cosine=0.857668		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R19.6	Halitosis	mesh:D006209	Halitosis	cosine=0.857206		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B80	Enterobiasis	mesh:D017229	Enterobiasis	cosine=0.856376		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:E30.0	Delayed puberty	mesh:D011628	Puberty, Delayed	cosine=0.856082		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
