subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source_version	object_source_version	mapping_tool	mapping_tool_id	mapping_tool_version	mapping_date	confidence
icd10:C75.1	Pituitary gland	skos:exactMatch	mesh:D010902	Pituitary Gland	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:C86.2	Enteropathy-type (intestinal) T-cell lymphoma	skos:closeMatch	mesh:D058527	Enteropathy-Associated T-Cell Lymphoma	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:F00.0	Dementia in Alzheimer disease with early onset	skos:closeMatch	mesh:C536595	Alzheimer disease type 2	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:M61.1	Myositis ossificans progressiva	skos:closeMatch	mesh:D009221	Myositis Ossificans	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:Y58.4	Tetanus vaccine	skos:closeMatch	mesh:D013745	Tetanus Toxoid	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:F00.1	Dementia in Alzheimer disease with late onset	skos:closeMatch	mesh:C536594	Alzheimer disease type 1	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:E25.0	Congenital adrenogenital disorders associated with enzyme deficiency	skos:closeMatch	mesh:D000312	Adrenal Hyperplasia, Congenital	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:Y43.3	Other antineoplastic drugs	skos:closeMatch	mesh:D000903	Antibiotics, Antineoplastic	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:C86.6	Primary cutaneous CD30-positive T-cell proliferations	skos:closeMatch	mesh:D054446	Lymphoma, Primary Cutaneous Anaplastic Large Cell	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:E72.1	Disorders of sulfur-bearing amino-acid metabolism	skos:closeMatch	mesh:C538141	Sulfite oxidase deficiency	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:T70.2	Other and unspecified effects of high altitude	skos:closeMatch	mesh:D000532	Altitude Sickness	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:G24.1	Idiopathic familial dystonia	skos:closeMatch	mesh:D020821	Dystonic Disorders	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:K12.0	Recurrent oral aphthae	skos:closeMatch	mesh:C538145	Sutton disease 2	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:L93.1	Subacute cutaneous lupus erythematosus	skos:closeMatch	mesh:D008178	Lupus Erythematosus, Cutaneous	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:C41.2	Vertebral column	skos:closeMatch	mesh:D013131	Spine	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
