subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source_version	object_source_version	mapping_tool	mapping_tool_id	mapping_tool_version	mapping_date	confidence
icd10:F65.1	Fetishistic transvestism	skos:exactMatch	mesh:D014190	Transvestism	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F65.5	Sadomasochism	skos:exactMatch	mesh:D008398	Masochism	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F80.2	Receptive language disorder	skos:exactMatch	mesh:D001037	Aphasia	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F84.0	Childhood autism	skos:exactMatch	mesh:D001321	Autistic Disorder	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F93.8	Other childhood emotional disorders	skos:exactMatch	mesh:C000726808	general anxiety disorder	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:G04	Encephalitis, myelitis and encephalomyelitis	skos:exactMatch	mesh:D008590	Meningoencephalitis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:G23.1	Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]	skos:exactMatch	mesh:D013494	Supranuclear Palsy, Progressive	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:G25.8	Other specified extrapyramidal and movement disorders	skos:exactMatch	mesh:D012148	Restless Legs Syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:G31.0	Circumscribed brain atrophy	skos:exactMatch	mesh:D020774	Pick Disease of the Brain	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:G37.0	Diffuse sclerosis	skos:exactMatch	mesh:D002549	Diffuse Cerebral Sclerosis of Schilder	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:G40.4	Other generalized epilepsy and epileptic syndromes	skos:exactMatch	mesh:D013036	Spasms, Infantile	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:G43.8	Other migraine	skos:exactMatch	mesh:D060486	Ophthalmoplegic Migraine	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:G57.6	Lesion of plantar nerve	skos:exactMatch	mesh:D000070607	Morton Neuroma	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:H00.1	Chalazion	skos:exactMatch	mesh:D017043	Chalazion	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	1.0
icd10:H02.5	Other disorders affecting eyelid function	skos:exactMatch	mesh:D016569	Blepharophimosis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:H04.1	Other disorders of lacrimal gland	skos:exactMatch	mesh:D015352	Dry Eye Syndromes	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:H18.4	Corneal degeneration	skos:exactMatch	mesh:D001112	Arcus Senilis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:H18.6	Keratoconus	skos:exactMatch	mesh:D007640	Keratoconus	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	1.0
icd10:H19.3	Keratitis and keratoconjunctivitis in other diseases classified elsewhere	skos:exactMatch	mesh:D007638	Keratoconjunctivitis Sicca	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:H26.4	After-cataract	skos:exactMatch	mesh:D058442	Capsule Opacification	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:H30.2	Posterior cyclitis	skos:exactMatch	mesh:D015868	Pars Planitis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:H31.2	Hereditary choroidal dystrophy	skos:exactMatch	mesh:D015794	Choroideremia	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:H35.2	Other proliferative retinopathy	skos:exactMatch	mesh:D018630	Vitreoretinopathy, Proliferative	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:H35.5	Hereditary retinal dystrophy	skos:exactMatch	mesh:D012174	Retinitis Pigmentosa	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:H35.7	Separation of retinal layers	skos:exactMatch	mesh:D056833	Central Serous Chorioretinopathy	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
